batch_number,name,unit_of_measurement,description,category,usage,owner,quantity
1510,ΜΕΤΑΣΧΗΜΑΤΙΣΤΗΣ 110/220V,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1511,ΜΕΤΑΣΧΗΜΑΤΙΣΤΕΣ 4KW,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1512,ΜΕΤΑΣΧΗΜΑΤΙΣΤΕΣ 5KW,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1518,DSPCM 30 INTARCOM,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1519,PCM 30 G SIEMENS,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1520,ADM 11 CMSH 11 C MARCONI,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1529,ΤΗΛΕΤΥΠΑ ΤΥΠΟΥ ATS-SS02,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1532,ΟΘΟΝΗ Η/Υ 19’’ TFT,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1537,ΟΘΟΝΗ LG LED 19 1261768,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1538,Η/Υ QUEST EPF-GEETHA 1092877,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1539,"ΔΙΣΚΟΣ SEAGATE 3,5 SATA 500GB",ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1542,Η/Υ LENOVO THINKCENTER M91p SFF,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1620,ΒΑΘΜΙΔΑ 8 ΑΡΤΗΡΙΩΝ ISDN,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
1628,ΜΕΤΑΣΧΗΜΑΤΙΣΤΗΣ 220/110V,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
5982, KEPAIA MIKROTIK MANTBOX,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
5984, CISCO CBS220-24T -4X,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
5985, ELECTRONIC SCR BOARD LINAER LCD (KAPTA UPS),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
5990, MIKROTIK ROUTERBOARD 2011UIAS 600MHZ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
5991, MIKROTIK ROUTERBOARD 960PGS PB,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
5992, MIKROTIK CR S318- IFI 15FR,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
5993, ROUTERBOARD CCR1016 12G,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
5994, FAX PANASONIC UF -7100,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
5995, MIKROTIK RB1100AHX4 ROUTER,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
5996, ROUTER MIKROTIK CCR 2116,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
5997, ROUTER MIKROTIK CCR 2004,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6000, AC 1750 WIRELESS ( ΔΡΟΜ.ΑΣΥΡΜ.ΔΙΚΤΥΟΥ ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6010, ΣΥΣΚΕΥΗ ΤΗΛΕΦΩΝΑ ΓΕΡΜΑΝΙΑΣ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6011, ΤΗΛΕΦ ΕΕ -8 A-B.C.D,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6012, ΤΗΛΕΦΩΝΑ ΑΥΤΟΜΑΤΑ ΔΙΑΦΟΡ ΤΥΠΩΝ ΕΠΙΤΡΑΠΕΖΙΑ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
